India/State/UT/CITY/U.A. Name,Age group,Total population - Persons,Total population - Males,Total population - Females,Illiterate - Males,Illiterate - Females,Literate without Educational Level - Non formal - Males,Literate without Educational Level - Non formal - Females,Literate without Educational Level - formal - Males,Literate without Educational Level - formal - Females,Educational Level - Primary - Males,Educational Level - Primary - Females,Educational Level - Middle - Males,Educational Level - Middle - Females,Educational Level - Matriculation/Secondary - Males,Educational Level - Matriculation/Secondary - Females,Educational Level - Higher Secondary/Intermediate/Pre-University/Senior Secondary - Males,Educational Level - Higher Secondary/Intermediate/Pre-University/Senior Secondary - Females,Educational Level - Non-Technical Diploma or certificate not equal to Degree - Males,Educational Level - Non-Technical Diploma or certificate not equal to Degree - Females,Educational Level - Technical Diploma or Certificate not equal to Degree - Males,Educational Level - Technical Diploma or Certificate not equal to Degree - Females,Educational Level - Graduate and above - Males,Educational Level - Graduate and above - Females
BHOPAL,All ages,1351479,715283,636196,281754,353801,2070,1450,93859,70140,90293,62850,65765,40245,35759,20480,69531,46060,360,190,10330,730,65562,40250
BHOPAL,0-6,237502,122580,114922,122580,114922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHOPAL,7,35710,18140,17570,7840,8550,220,190,10080,8830,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHOPAL,8,44942,23352,21590,8092,9300,80,90,15180,12200,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BHOPAL,9,25340,12940,12400,3020,3280,150,50,9370,8340,400,730,0,0,0,0,0,0,0,0,0,0,0,0
BHOPAL,10,44619,23529,21090,5100,6990,110,40,14429,10620,3890,3440,0,0,0,0,0,0,0,0,0,0,0,0
BHOPAL,11,23910,12060,11850,1370,2360,40,30,5980,5150,4400,4080,270,230,0,0,0,0,0,0,0,0,0,0
BHOPAL,12,38933,21180,17753,4140,5353,10,40,6170,4680,9940,6970,920,710,0,0,0,0,0,0,0,0,0,0
BHOPAL,13,23643,12033,11610,1470,2670,20,0,2090,1540,6793,5490,1660,1910,0,0,0,0,0,0,0,0,0,0
BHOPAL,14,28360,15210,13150,2530,3020,50,20,1460,1260,6380,4180,4310,4200,410,400,70,70,0,0,0,0,0,0
BHOPAL,15-19,134888,71630,63258,13021,19433,120,110,4160,3310,13550,8970,18380,11865,8669,6570,13040,11760,30,30,140,80,520,1130
BHOPAL,20-24,141125,73587,67538,15048,27378,180,170,3400,2600,9040,6880,9989,5510,6560,3000,18550,11710,50,30,1570,290,9200,9970
BHOPAL,25-29,125231,64231,61000,15830,28600,160,80,3040,2440,7980,5930,8250,3900,4280,2410,10191,6920,40,40,1470,110,12990,10570
BHOPAL,30-34,99644,53430,46214,14552,23284,160,80,3100,1710,6510,3970,5926,2920,3010,1910,7790,5540,80,10,1080,30,11222,6760
BHOPAL,35-39,85157,46487,38670,12897,20620,170,120,2920,1480,5850,3770,5260,2730,3310,1570,5990,3980,30,0,1050,80,9010,4320
BHOPAL,40-44,65051,36630,28421,11190,15741,90,20,2170,1060,4500,2490,3340,1970,2130,1310,4830,2580,30,0,1600,50,6750,3200
BHOPAL,45-49,53413,28979,24434,9009,14374,120,60,2250,1060,3310,2060,2630,1770,2080,1310,3440,1680,20,20,1140,50,4980,2050
BHOPAL,50-54,44593,26591,18002,9601,12582,40,60,1920,730,2580,1170,1900,760,1760,740,2540,800,30,10,1820,30,4400,1120
BHOPAL,55-59,26650,14350,12300,5520,8650,80,60,1320,720,1570,740,890,690,1030,430,1110,420,0,10,290,10,2540,570
BHOPAL,60-64,28344,15204,13140,8124,10610,40,50,1470,510,1540,680,830,410,820,290,710,320,20,20,80,0,1570,250
BHOPAL,65-69,14714,7680,7034,3700,5584,30,30,790,230,720,460,460,190,670,290,570,120,10,0,30,0,700,130
BHOPAL,70-74,12010,5970,6040,3340,4890,40,20,690,370,430,360,210,140,380,130,280,60,10,0,10,0,580,70
BHOPAL,75-79,4970,2480,2490,1160,1950,10,0,270,190,280,150,180,110,210,40,120,20,0,10,0,0,250,20
BHOPAL,80+,8570,4740,3830,2400,3390,10,0,460,150,420,150,230,90,350,20,160,0,0,10,30,0,680,20
BHOPAL,Age not stated,4160,2270,1890,220,270,140,130,1140,960,210,180,130,140,90,60,140,80,10,0,20,0,170,70
